Category: All categories

Month,Greece: (Romania)
2012-01,26
2012-02,27
2012-03,29
2012-04,30
2012-05,41
2012-06,70
2012-07,62
2012-08,52
2012-09,30
2012-10,26
2012-11,19
2012-12,11
2013-01,27
2013-02,32
2013-03,30
2013-04,33
2013-05,43
2013-06,48
2013-07,50
2013-08,51
2013-09,34
2013-10,23
2013-11,26
2013-12,15
2014-01,30
2014-02,34
2014-03,33
2014-04,34
2014-05,42
2014-06,68
2014-07,69
2014-08,50
2014-09,35
2014-10,17
2014-11,20
2014-12,20
2015-01,37
2015-02,29
2015-03,32
2015-04,30
2015-05,42
2015-06,72
2015-07,100
2015-08,52
2015-09,41
2015-10,21
2015-11,18
2015-12,19
2016-01,26
2016-02,31
2016-03,27
2016-04,29
2016-05,41
2016-06,45
2016-07,69
2016-08,56
2016-09,31
2016-10,22
2016-11,18
2016-12,20
2017-01,39
2017-02,32
2017-03,40
2017-04,36
2017-05,44
2017-06,67
2017-07,79
2017-08,66
2017-09,34
2017-10,17
2017-11,20
2017-12,23
2018-01,42
2018-02,40
2018-03,40
2018-04,38
2018-05,50
2018-06,63
2018-07,93
2018-08,55
2018-09,35
2018-10,22
2018-11,18
2018-12,23
2019-01,38
2019-02,43
2019-03,40
2019-04,42
2019-05,43
2019-06,53
2019-07,65
2019-08,50
2019-09,33
2019-10,25
2019-11,21
2019-12,26
2020-01,32
2020-02,33
2020-03,27
2020-04,29
2020-05,31
2020-06,48
2020-07,67
2020-08,48
2020-09,34
2020-10,27
2020-11,21
2020-12,16
2021-01,21
