Category: All categories

Month,Spain: (Romania)
2012-01,47
2012-02,48
2012-03,34
2012-04,53
2012-05,65
2012-06,99
2012-07,65
2012-08,54
2012-09,53
2012-10,39
2012-11,33
2012-12,31
2013-01,43
2013-02,39
2013-03,40
2013-04,42
2013-05,41
2013-06,50
2013-07,68
2013-08,42
2013-09,52
2013-10,36
2013-11,43
2013-12,34
2014-01,39
2014-02,42
2014-03,39
2014-04,51
2014-05,54
2014-06,97
2014-07,57
2014-08,65
2014-09,45
2014-10,54
2014-11,32
2014-12,34
2015-01,45
2015-02,42
2015-03,43
2015-04,39
2015-05,50
2015-06,53
2015-07,47
2015-08,63
2015-09,47
2015-10,49
2015-11,39
2015-12,38
2016-01,47
2016-02,47
2016-03,62
2016-04,42
2016-05,53
2016-06,80
2016-07,65
2016-08,56
2016-09,53
2016-10,47
2016-11,37
2016-12,38
2017-01,49
2017-02,51
2017-03,58
2017-04,63
2017-05,72
2017-06,66
2017-07,60
2017-08,58
2017-09,75
2017-10,75
2017-11,40
2017-12,47
2018-01,56
2018-02,62
2018-03,52
2018-04,55
2018-05,63
2018-06,100
2018-07,84
2018-08,56
2018-09,56
2018-10,56
2018-11,45
2018-12,47
2019-01,50
2019-02,56
2019-03,61
2019-04,50
2019-05,63
2019-06,76
2019-07,51
2019-08,57
2019-09,67
2019-10,56
2019-11,55
2019-12,44
2020-01,57
2020-02,54
2020-03,84
2020-04,71
2020-05,48
2020-06,37
2020-07,63
2020-08,67
2020-09,47
2020-10,47
2020-11,42
2020-12,36
2021-01,41
