Category: All categories

Month,flower: (Romania)
2012-01,69
2012-02,81
2012-03,83
2012-04,78
2012-05,70
2012-06,82
2012-07,73
2012-08,64
2012-09,63
2012-10,60
2012-11,52
2012-12,53
2013-01,61
2013-02,94
2013-03,100
2013-04,80
2013-05,67
2013-06,49
2013-07,70
2013-08,69
2013-09,60
2013-10,57
2013-11,56
2013-12,56
2014-01,51
2014-02,76
2014-03,82
2014-04,73
2014-05,72
2014-06,80
2014-07,73
2014-08,70
2014-09,66
2014-10,68
2014-11,61
2014-12,60
2015-01,66
2015-02,67
2015-03,93
2015-04,90
2015-05,69
2015-06,77
2015-07,70
2015-08,56
2015-09,55
2015-10,64
2015-11,48
2015-12,46
2016-01,43
2016-02,73
2016-03,94
2016-04,73
2016-05,70
2016-06,90
2016-07,68
2016-08,72
2016-09,67
2016-10,63
2016-11,68
2016-12,54
2017-01,64
2017-02,96
2017-03,85
2017-04,87
2017-05,90
2017-06,83
2017-07,70
2017-08,65
2017-09,48
2017-10,56
2017-11,58
2017-12,52
2018-01,62
2018-02,66
2018-03,88
2018-04,82
2018-05,61
2018-06,83
2018-07,65
2018-08,59
2018-09,54
2018-10,53
2018-11,46
2018-12,50
2019-01,53
2019-02,77
2019-03,69
2019-04,75
2019-05,74
2019-06,71
2019-07,50
2019-08,63
2019-09,68
2019-10,65
2019-11,67
2019-12,63
2020-01,84
2020-02,89
2020-03,85
2020-04,80
2020-05,91
2020-06,79
2020-07,74
2020-08,67
2020-09,83
2020-10,56
2020-11,54
2020-12,57
2021-01,70
