Category: All categories

Month,grass: (Romania)
2012-01,37
2012-02,53
2012-03,69
2012-04,90
2012-05,49
2012-06,54
2012-07,52
2012-08,51
2012-09,60
2012-10,52
2012-11,34
2012-12,32
2013-01,31
2013-02,60
2013-03,51
2013-04,61
2013-05,33
2013-06,43
2013-07,40
2013-08,58
2013-09,66
2013-10,37
2013-11,34
2013-12,34
2014-01,44
2014-02,41
2014-03,52
2014-04,76
2014-05,71
2014-06,77
2014-07,43
2014-08,23
2014-09,41
2014-10,48
2014-11,47
2014-12,23
2015-01,37
2015-02,52
2015-03,41
2015-04,74
2015-05,40
2015-06,53
2015-07,43
2015-08,39
2015-09,52
2015-10,46
2015-11,33
2015-12,41
2016-01,46
2016-02,45
2016-03,51
2016-04,60
2016-05,54
2016-06,71
2016-07,48
2016-08,58
2016-09,35
2016-10,34
2016-11,21
2016-12,31
2017-01,34
2017-02,19
2017-03,51
2017-04,71
2017-05,56
2017-06,47
2017-07,42
2017-08,48
2017-09,26
2017-10,42
2017-11,40
2017-12,24
2018-01,31
2018-02,30
2018-03,45
2018-04,60
2018-05,57
2018-06,44
2018-07,56
2018-08,55
2018-09,42
2018-10,42
2018-11,38
2018-12,37
2019-01,21
2019-02,47
2019-03,30
2019-04,60
2019-05,60
2019-06,87
2019-07,44
2019-08,30
2019-09,44
2019-10,93
2019-11,62
2019-12,64
2020-01,49
2020-02,47
2020-03,46
2020-04,86
2020-05,100
2020-06,52
2020-07,37
2020-08,56
2020-09,56
2020-10,58
2020-11,38
2020-12,50
2021-01,49
