Category: All categories

Month,money: (Romania)
2012-01,55
2012-02,68
2012-03,69
2012-04,54
2012-05,100
2012-06,58
2012-07,58
2012-08,51
2012-09,52
2012-10,51
2012-11,54
2012-12,48
2013-01,53
2013-02,50
2013-03,45
2013-04,45
2013-05,48
2013-06,54
2013-07,59
2013-08,51
2013-09,53
2013-10,50
2013-11,46
2013-12,47
2014-01,53
2014-02,48
2014-03,48
2014-04,50
2014-05,49
2014-06,52
2014-07,53
2014-08,55
2014-09,52
2014-10,53
2014-11,44
2014-12,52
2015-01,54
2015-02,46
2015-03,48
2015-04,54
2015-05,54
2015-06,62
2015-07,55
2015-08,55
2015-09,54
2015-10,46
2015-11,45
2015-12,52
2016-01,54
2016-02,48
2016-03,47
2016-04,52
2016-05,52
2016-06,53
2016-07,58
2016-08,52
2016-09,48
2016-10,45
2016-11,49
2016-12,53
2017-01,53
2017-02,50
2017-03,49
2017-04,51
2017-05,44
2017-06,55
2017-07,47
2017-08,54
2017-09,42
2017-10,47
2017-11,44
2017-12,54
2018-01,54
2018-02,60
2018-03,52
2018-04,51
2018-05,46
2018-06,50
2018-07,49
2018-08,53
2018-09,56
2018-10,49
2018-11,47
2018-12,51
2019-01,52
2019-02,54
2019-03,46
2019-04,48
2019-05,47
2019-06,52
2019-07,53
2019-08,57
2019-09,59
2019-10,55
2019-11,55
2019-12,59
2020-01,58
2020-02,59
2020-03,68
2020-04,90
2020-05,72
2020-06,60
2020-07,96
2020-08,66
2020-09,57
2020-10,63
2020-11,55
2020-12,66
2021-01,71
