Category: All categories

Month,mother: (Romania)
2012-01,96
2012-02,100
2012-03,67
2012-04,70
2012-05,90
2012-06,76
2012-07,76
2012-08,65
2012-09,76
2012-10,86
2012-11,72
2012-12,84
2013-01,80
2013-02,88
2013-03,78
2013-04,82
2013-05,88
2013-06,74
2013-07,76
2013-08,83
2013-09,88
2013-10,96
2013-11,80
2013-12,76
2014-01,83
2014-02,89
2014-03,97
2014-04,95
2014-05,72
2014-06,72
2014-07,77
2014-08,65
2014-09,71
2014-10,62
2014-11,68
2014-12,73
2015-01,66
2015-02,63
2015-03,67
2015-04,60
2015-05,81
2015-06,70
2015-07,76
2015-08,74
2015-09,67
2015-10,57
2015-11,60
2015-12,75
2016-01,52
2016-02,52
2016-03,72
2016-04,73
2016-05,66
2016-06,74
2016-07,63
2016-08,67
2016-09,65
2016-10,52
2016-11,63
2016-12,65
2017-01,51
2017-02,61
2017-03,62
2017-04,65
2017-05,50
2017-06,58
2017-07,54
2017-08,57
2017-09,60
2017-10,68
2017-11,54
2017-12,64
2018-01,75
2018-02,64
2018-03,64
2018-04,49
2018-05,60
2018-06,50
2018-07,52
2018-08,58
2018-09,55
2018-10,49
2018-11,51
2018-12,51
2019-01,43
2019-02,53
2019-03,51
2019-04,53
2019-05,46
2019-06,69
2019-07,53
2019-08,55
2019-09,59
2019-10,41
2019-11,47
2019-12,45
2020-01,54
2020-02,50
2020-03,51
2020-04,51
2020-05,52
2020-06,46
2020-07,48
2020-08,49
2020-09,52
2020-10,39
2020-11,48
2020-12,49
2021-01,61
