Category: All categories

Month,sport: (Romania)
2012-01,35
2012-02,34
2012-03,57
2012-04,53
2012-05,58
2012-06,46
2012-07,41
2012-08,57
2012-09,55
2012-10,60
2012-11,58
2012-12,38
2013-01,36
2013-02,55
2013-03,55
2013-04,62
2013-05,58
2013-06,41
2013-07,54
2013-08,75
2013-09,59
2013-10,59
2013-11,58
2013-12,62
2014-01,47
2014-02,60
2014-03,68
2014-04,66
2014-05,67
2014-06,52
2014-07,58
2014-08,69
2014-09,59
2014-10,67
2014-11,52
2014-12,43
2015-01,48
2015-02,56
2015-03,71
2015-04,63
2015-05,64
2015-06,52
2015-07,62
2015-08,76
2015-09,69
2015-10,69
2015-11,60
2015-12,68
2016-01,65
2016-02,73
2016-03,77
2016-04,79
2016-05,80
2016-06,93
2016-07,79
2016-08,88
2016-09,84
2016-10,74
2016-11,67
2016-12,65
2017-01,62
2017-02,73
2017-03,78
2017-04,85
2017-05,87
2017-06,79
2017-07,86
2017-08,100
2017-09,91
2017-10,84
2017-11,72
2017-12,76
2018-01,79
2018-02,88
2018-03,83
2018-04,89
2018-05,84
2018-06,72
2018-07,67
2018-08,88
2018-09,73
2018-10,70
2018-11,65
2018-12,69
2019-01,70
2019-02,84
2019-03,85
2019-04,67
2019-05,73
2019-06,72
2019-07,77
2019-08,91
2019-09,74
2019-10,64
2019-11,63
2019-12,60
2020-01,58
2020-02,65
2020-03,45
2020-04,35
2020-05,36
2020-06,47
2020-07,56
2020-08,67
2020-09,67
2020-10,61
2020-11,49
2020-12,51
2021-01,53
