Category: All categories

Month,Universities uk: (Romania)
2012-01,100
2012-02,45
2012-03,15
2012-04,17
2012-05,62
2012-06,34
2012-07,35
2012-08,36
2012-09,36
2012-10,15
2012-11,15
2012-12,29
2013-01,13
2013-02,14
2013-03,0
2013-04,0
2013-05,15
2013-06,43
2013-07,14
2013-08,74
2013-09,59
2013-10,27
2013-11,92
2013-12,13
2014-01,23
2014-02,26
2014-03,37
2014-04,26
2014-05,0
2014-06,0
2014-07,14
2014-08,45
2014-09,72
2014-10,65
2014-11,62
2014-12,62
2015-01,87
2015-02,23
2015-03,0
2015-04,23
2015-05,34
2015-06,23
2015-07,51
2015-08,26
2015-09,89
2015-10,70
2015-11,70
2015-12,46
2016-01,32
2016-02,35
2016-03,11
2016-04,13
2016-05,36
2016-06,76
2016-07,68
2016-08,42
2016-09,43
2016-10,26
2016-11,38
2016-12,25
2017-01,45
2017-02,38
2017-03,0
2017-04,13
2017-05,39
2017-06,28
2017-07,14
2017-08,40
2017-09,28
2017-10,50
2017-11,60
2017-12,13
2018-01,22
2018-02,25
2018-03,58
2018-04,40
2018-05,24
2018-06,37
2018-07,36
2018-08,25
2018-09,66
2018-10,50
2018-11,24
2018-12,25
2019-01,11
2019-02,13
2019-03,12
2019-04,26
2019-05,12
2019-06,25
2019-07,37
2019-08,25
2019-09,25
2019-10,34
2019-11,22
2019-12,23
2020-01,20
2020-02,10
2020-03,9
2020-04,0
2020-05,37
2020-06,20
2020-07,42
2020-08,11
2020-09,43
2020-10,21
2020-11,20
2020-12,30
2021-01,9
