Category: All categories

Month,education uk: (Romania)
2012-01,34
2012-02,70
2012-03,0
2012-04,39
2012-05,73
2012-06,40
2012-07,0
2012-08,0
2012-09,42
2012-10,72
2012-11,70
2012-12,34
2013-01,30
2013-02,0
2013-03,31
2013-04,0
2013-05,34
2013-06,0
2013-07,0
2013-08,0
2013-09,68
2013-10,31
2013-11,92
2013-12,61
2014-01,0
2014-02,0
2014-03,29
2014-04,62
2014-05,31
2014-06,100
2014-07,0
2014-08,0
2014-09,34
2014-10,30
2014-11,29
2014-12,58
2015-01,0
2015-02,54
2015-03,51
2015-04,55
2015-05,0
2015-06,0
2015-07,30
2015-08,30
2015-09,30
2015-10,0
2015-11,27
2015-12,55
2016-01,0
2016-02,0
2016-03,53
2016-04,30
2016-05,0
2016-06,30
2016-07,0
2016-08,0
2016-09,0
2016-10,61
2016-11,59
2016-12,0
2017-01,27
2017-02,30
2017-03,0
2017-04,31
2017-05,31
2017-06,33
2017-07,33
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,53
2018-02,0
2018-03,27
2018-04,0
2018-05,0
2018-06,59
2018-07,0
2018-08,0
2018-09,62
2018-10,0
2018-11,0
2018-12,29
2019-01,26
2019-02,0
2019-03,58
2019-04,61
2019-05,27
2019-06,0
2019-07,29
2019-08,0
2019-09,0
2019-10,27
2019-11,25
2019-12,26
2020-01,0
2020-02,25
2020-03,0
2020-04,23
2020-05,22
2020-06,47
2020-07,0
2020-08,0
2020-09,25
2020-10,24
2020-11,0
2020-12,24
2021-01,0
