Category: All categories

Month,school England: (Romania)
2012-01,0
2012-02,100
2012-03,67
2012-04,0
2012-05,70
2012-06,38
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,64
2013-01,0
2013-02,62
2013-03,29
2013-04,32
2013-05,0
2013-06,65
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,27
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,64
2014-10,29
2014-11,28
2014-12,0
2015-01,24
2015-02,51
2015-03,0
2015-04,26
2015-05,0
2015-06,26
2015-07,29
2015-08,0
2015-09,85
2015-10,26
2015-11,0
2015-12,0
2016-01,24
2016-02,0
2016-03,25
2016-04,0
2016-05,27
2016-06,29
2016-07,0
2016-08,63
2016-09,0
2016-10,0
2016-11,0
2016-12,28
2017-01,25
2017-02,0
2017-03,0
2017-04,30
2017-05,0
2017-06,32
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,28
2018-01,0
2018-02,27
2018-03,51
2018-04,30
2018-05,54
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,28
2018-11,54
2018-12,0
2019-01,0
2019-02,28
2019-03,27
2019-04,0
2019-05,26
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,24
2019-12,0
2020-01,22
2020-02,24
2020-03,0
2020-04,22
2020-05,21
2020-06,22
2020-07,0
2020-08,24
2020-09,24
2020-10,23
2020-11,22
2020-12,0
2021-01,0
