Category: All categories

Month,school uk: (Romania)
2012-01,66
2012-02,51
2012-03,17
2012-04,38
2012-05,18
2012-06,99
2012-07,20
2012-08,21
2012-09,41
2012-10,18
2012-11,17
2012-12,0
2013-01,74
2013-02,0
2013-03,45
2013-04,16
2013-05,50
2013-06,99
2013-07,16
2013-08,51
2013-09,84
2013-10,31
2013-11,0
2013-12,45
2014-01,52
2014-02,44
2014-03,0
2014-04,15
2014-05,30
2014-06,0
2014-07,49
2014-08,70
2014-09,100
2014-10,30
2014-11,29
2014-12,43
2015-01,62
2015-02,40
2015-03,38
2015-04,13
2015-05,26
2015-06,54
2015-07,73
2015-08,45
2015-09,88
2015-10,81
2015-11,40
2015-12,53
2016-01,12
2016-02,53
2016-03,65
2016-04,30
2016-05,28
2016-06,29
2016-07,62
2016-08,0
2016-09,66
2016-10,30
2016-11,44
2016-12,29
2017-01,65
2017-02,73
2017-03,27
2017-04,45
2017-05,15
2017-06,97
2017-07,16
2017-08,46
2017-09,32
2017-10,14
2017-11,69
2017-12,15
2018-01,26
2018-02,57
2018-03,40
2018-04,31
2018-05,42
2018-06,14
2018-07,69
2018-08,58
2018-09,91
2018-10,29
2018-11,14
2018-12,71
2019-01,64
2019-02,43
2019-03,28
2019-04,30
2019-05,0
2019-06,73
2019-07,14
2019-08,72
2019-09,72
2019-10,39
2019-11,13
2019-12,52
2020-01,35
2020-02,97
2020-03,98
2020-04,46
2020-05,22
2020-06,23
2020-07,36
2020-08,37
2020-09,99
2020-10,24
2020-11,11
2020-12,23
2021-01,54
