Category: All categories

Month,study uk: (Romania)
2012-01,35
2012-02,74
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,87
2012-08,0
2012-09,87
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,32
2013-04,35
2013-05,0
2013-06,0
2013-07,0
2013-08,37
2013-09,36
2013-10,0
2013-11,0
2013-12,96
2014-01,0
2014-02,63
2014-03,0
2014-04,65
2014-05,97
2014-06,35
2014-07,0
2014-08,37
2014-09,36
2014-10,32
2014-11,0
2014-12,0
2015-01,27
2015-02,0
2015-03,27
2015-04,29
2015-05,0
2015-06,58
2015-07,0
2015-08,64
2015-09,0
2015-10,29
2015-11,85
2015-12,29
2016-01,26
2016-02,0
2016-03,0
2016-04,62
2016-05,30
2016-06,0
2016-07,66
2016-08,35
2016-09,71
2016-10,0
2016-11,31
2016-12,32
2017-01,28
2017-02,0
2017-03,88
2017-04,33
2017-05,64
2017-06,70
2017-07,34
2017-08,100
2017-09,0
2017-10,0
2017-11,0
2017-12,31
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,30
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,60
2018-12,62
2019-01,55
2019-02,0
2019-03,61
2019-04,0
2019-05,29
2019-06,0
2019-07,30
2019-08,31
2019-09,0
2019-10,28
2019-11,0
2019-12,0
2020-01,25
2020-02,26
2020-03,0
2020-04,25
2020-05,0
2020-06,25
2020-07,26
2020-08,27
2020-09,26
2020-10,25
2020-11,49
2020-12,50
2021-01,70
