Category: All categories

Month,locuri de munca uk: (Romania)
2012-01,28
2012-02,7
2012-03,29
2012-04,24
2012-05,30
2012-06,8
2012-07,34
2012-08,26
2012-09,9
2012-10,15
2012-11,36
2012-12,14
2013-01,19
2013-02,20
2013-03,19
2013-04,21
2013-05,21
2013-06,14
2013-07,0
2013-08,7
2013-09,21
2013-10,39
2013-11,57
2013-12,32
2014-01,100
2014-02,44
2014-03,36
2014-04,26
2014-05,45
2014-06,48
2014-07,48
2014-08,30
2014-09,35
2014-10,44
2014-11,30
2014-12,30
2015-01,100
2015-02,50
2015-03,37
2015-04,46
2015-05,65
2015-06,28
2015-07,69
2015-08,63
2015-09,62
2015-10,57
2015-11,51
2015-12,51
2016-01,84
2016-02,34
2016-03,33
2016-04,25
2016-05,36
2016-06,38
2016-07,19
2016-08,21
2016-09,21
2016-10,25
2016-11,19
2016-12,31
2017-01,56
2017-02,31
2017-03,29
2017-04,32
2017-05,19
2017-06,21
2017-07,27
2017-08,26
2017-09,20
2017-10,12
2017-11,35
2017-12,12
2018-01,27
2018-02,12
2018-03,33
2018-04,20
2018-05,35
2018-06,12
2018-07,12
2018-08,25
2018-09,51
2018-10,18
2018-11,18
2018-12,12
2019-01,27
2019-02,0
2019-03,24
2019-04,25
2019-05,6
2019-06,18
2019-07,24
2019-08,30
2019-09,24
2019-10,17
2019-11,32
2019-12,27
2020-01,39
2020-02,10
2020-03,19
2020-04,10
2020-05,18
2020-06,0
2020-07,10
2020-08,16
2020-09,16
2020-10,10
2020-11,10
2020-12,40
2021-01,18
