Category: All categories

Month,munca uk: (Romania)
2012-01,42
2012-02,22
2012-03,22
2012-04,30
2012-05,17
2012-06,31
2012-07,38
2012-08,33
2012-09,52
2012-10,11
2012-11,33
2012-12,11
2013-01,28
2013-02,31
2013-03,52
2013-04,36
2013-05,16
2013-06,48
2013-07,15
2013-08,22
2013-09,16
2013-10,15
2013-11,48
2013-12,28
2014-01,100
2014-02,28
2014-03,49
2014-04,19
2014-05,19
2014-06,67
2014-07,26
2014-08,33
2014-09,42
2014-10,47
2014-11,18
2014-12,32
2015-01,79
2015-02,50
2015-03,59
2015-04,39
2015-05,53
2015-06,38
2015-07,38
2015-08,71
2015-09,65
2015-10,60
2015-11,59
2015-12,34
2016-01,67
2016-02,59
2016-03,41
2016-04,28
2016-05,35
2016-06,28
2016-07,39
2016-08,31
2016-09,42
2016-10,33
2016-11,28
2016-12,28
2017-01,37
2017-02,23
2017-03,26
2017-04,15
2017-05,14
2017-06,21
2017-07,26
2017-08,44
2017-09,51
2017-10,9
2017-11,40
2017-12,23
2018-01,16
2018-02,31
2018-03,29
2018-04,25
2018-05,18
2018-06,23
2018-07,9
2018-08,51
2018-09,58
2018-10,32
2018-11,18
2018-12,5
2019-01,29
2019-02,14
2019-03,18
2019-04,33
2019-05,9
2019-06,14
2019-07,18
2019-08,27
2019-09,27
2019-10,17
2019-11,12
2019-12,12
2020-01,33
2020-02,12
2020-03,14
2020-04,11
2020-05,7
2020-06,4
2020-07,23
2020-08,24
2020-09,16
2020-10,15
2020-11,18
2020-12,15
2021-01,28
