Category: All categories

Month,work uk: (Romania)
2012-01,34
2012-02,35
2012-03,58
2012-04,39
2012-05,49
2012-06,67
2012-07,82
2012-08,14
2012-09,14
2012-10,36
2012-11,12
2012-12,11
2013-01,40
2013-02,44
2013-03,10
2013-04,44
2013-05,57
2013-06,11
2013-07,22
2013-08,70
2013-09,34
2013-10,21
2013-11,10
2013-12,20
2014-01,98
2014-02,100
2014-03,67
2014-04,31
2014-05,31
2014-06,22
2014-07,44
2014-08,83
2014-09,11
2014-10,20
2014-11,29
2014-12,10
2015-01,42
2015-02,63
2015-03,42
2015-04,37
2015-05,70
2015-06,9
2015-07,80
2015-08,40
2015-09,20
2015-10,36
2015-11,63
2015-12,18
2016-01,84
2016-02,54
2016-03,44
2016-04,40
2016-05,66
2016-06,40
2016-07,31
2016-08,55
2016-09,56
2016-10,30
2016-11,30
2016-12,20
2017-01,18
2017-02,39
2017-03,18
2017-04,10
2017-05,41
2017-06,11
2017-07,22
2017-08,32
2017-09,11
2017-10,20
2017-11,19
2017-12,20
2018-01,44
2018-02,10
2018-03,53
2018-04,42
2018-05,19
2018-06,20
2018-07,19
2018-08,49
2018-09,10
2018-10,29
2018-11,19
2018-12,20
2019-01,9
2019-02,20
2019-03,19
2019-04,0
2019-05,46
2019-06,0
2019-07,9
2019-08,39
2019-09,19
2019-10,9
2019-11,0
2019-12,0
2020-01,31
2020-02,8
2020-03,45
2020-04,31
2020-05,44
2020-06,16
2020-07,8
2020-08,17
2020-09,50
2020-10,40
2020-11,8
2020-12,56
2021-01,29
