Category: All categories

Month,casa Anglia: (Romania)
2012-01,45
2012-02,34
2012-03,40
2012-04,38
2012-05,35
2012-06,0
2012-07,8
2012-08,0
2012-09,24
2012-10,21
2012-11,48
2012-12,46
2013-01,58
2013-02,95
2013-03,100
2013-04,77
2013-05,33
2013-06,7
2013-07,6
2013-08,20
2013-09,20
2013-10,42
2013-11,36
2013-12,94
2014-01,82
2014-02,98
2014-03,94
2014-04,65
2014-05,30
2014-06,6
2014-07,13
2014-08,21
2014-09,26
2014-10,6
2014-11,34
2014-12,62
2015-01,74
2015-02,37
2015-03,64
2015-04,42
2015-05,30
2015-06,5
2015-07,6
2015-08,12
2015-09,17
2015-10,37
2015-11,37
2015-12,63
2016-01,34
2016-02,99
2016-03,67
2016-04,46
2016-05,55
2016-06,23
2016-07,0
2016-08,0
2016-09,32
2016-10,48
2016-11,29
2016-12,29
2017-01,56
2017-02,52
2017-03,11
2017-04,42
2017-05,30
2017-06,6
2017-07,32
2017-08,0
2017-09,25
2017-10,11
2017-11,49
2017-12,11
2018-01,45
2018-02,22
2018-03,10
2018-04,12
2018-05,22
2018-06,6
2018-07,27
2018-08,23
2018-09,18
2018-10,23
2018-11,33
2018-12,11
2019-01,20
2019-02,23
2019-03,17
2019-04,23
2019-05,27
2019-06,29
2019-07,0
2019-08,23
2019-09,11
2019-10,10
2019-11,35
2019-12,41
2020-01,23
2020-02,24
2020-03,17
2020-04,0
2020-05,13
2020-06,13
2020-07,5
2020-08,5
2020-09,10
2020-10,23
2020-11,18
2020-12,14
2021-01,17
