Category: All categories

Month,casa uk: (Romania)
2012-01,0
2012-02,62
2012-03,20
2012-04,23
2012-05,43
2012-06,0
2012-07,0
2012-08,25
2012-09,49
2012-10,21
2012-11,42
2012-12,20
2013-01,18
2013-02,19
2013-03,90
2013-04,0
2013-05,40
2013-06,20
2013-07,0
2013-08,61
2013-09,40
2013-10,0
2013-11,0
2013-12,71
2014-01,31
2014-02,0
2014-03,84
2014-04,18
2014-05,0
2014-06,0
2014-07,20
2014-08,0
2014-09,20
2014-10,36
2014-11,69
2014-12,52
2015-01,75
2015-02,32
2015-03,15
2015-04,0
2015-05,46
2015-06,32
2015-07,35
2015-08,36
2015-09,0
2015-10,16
2015-11,48
2015-12,32
2016-01,15
2016-02,0
2016-03,63
2016-04,18
2016-05,0
2016-06,35
2016-07,37
2016-08,0
2016-09,20
2016-10,18
2016-11,53
2016-12,0
2017-01,16
2017-02,35
2017-03,33
2017-04,0
2017-05,18
2017-06,19
2017-07,0
2017-08,37
2017-09,19
2017-10,17
2017-11,16
2017-12,35
2018-01,46
2018-02,17
2018-03,64
2018-04,0
2018-05,0
2018-06,17
2018-07,100
2018-08,35
2018-09,0
2018-10,17
2018-11,17
2018-12,0
2019-01,15
2019-02,35
2019-03,17
2019-04,0
2019-05,16
2019-06,17
2019-07,17
2019-08,52
2019-09,51
2019-10,16
2019-11,30
2019-12,16
2020-01,42
2020-02,14
2020-03,0
2020-04,55
2020-05,0
2020-06,14
2020-07,0
2020-08,30
2020-09,15
2020-10,0
2020-11,27
2020-12,28
2021-01,39
