Category: All categories

Month,house england: (Romania)
2012-01,33
2012-02,0
2012-03,35
2012-04,78
2012-05,37
2012-06,40
2012-07,82
2012-08,0
2012-09,0
2012-10,36
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,33
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,31
2013-11,31
2013-12,0
2014-01,0
2014-02,60
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,33
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,25
2015-02,0
2015-03,26
2015-04,0
2015-05,0
2015-06,0
2015-07,30
2015-08,0
2015-09,0
2015-10,27
2015-11,27
2015-12,0
2016-01,100
2016-02,27
2016-03,0
2016-04,60
2016-05,28
2016-06,0
2016-07,32
2016-08,0
2016-09,0
2016-10,62
2016-11,60
2016-12,0
2017-01,53
2017-02,0
2017-03,0
2017-04,61
2017-05,0
2017-06,66
2017-07,0
2017-08,0
2017-09,0
2017-10,29
2017-11,0
2017-12,59
2018-01,26
2018-02,0
2018-03,0
2018-04,31
2018-05,57
2018-06,29
2018-07,0
2018-08,60
2018-09,0
2018-10,29
2018-11,0
2018-12,29
2019-01,0
2019-02,0
2019-03,0
2019-04,30
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,23
2020-05,44
2020-06,0
2020-07,0
2020-08,0
2020-09,50
2020-10,0
2020-11,69
2020-12,0
2021-01,0
