Category: All categories

Month,house uk: (Romania)
2012-01,28
2012-02,39
2012-03,29
2012-04,11
2012-05,30
2012-06,100
2012-07,11
2012-08,35
2012-09,23
2012-10,0
2012-11,0
2012-12,19
2013-01,25
2013-02,27
2013-03,0
2013-04,28
2013-05,28
2013-06,37
2013-07,37
2013-08,19
2013-09,76
2013-10,43
2013-11,51
2013-12,0
2014-01,37
2014-02,25
2014-03,39
2014-04,42
2014-05,26
2014-06,18
2014-07,28
2014-08,29
2014-09,94
2014-10,42
2014-11,48
2014-12,40
2015-01,42
2015-02,7
2015-03,50
2015-04,23
2015-05,29
2015-06,46
2015-07,25
2015-08,34
2015-09,74
2015-10,68
2015-11,15
2015-12,53
2016-01,83
2016-02,45
2016-03,15
2016-04,17
2016-05,24
2016-06,33
2016-07,18
2016-08,18
2016-09,46
2016-10,9
2016-11,16
2016-12,25
2017-01,59
2017-02,57
2017-03,46
2017-04,34
2017-05,34
2017-06,27
2017-07,36
2017-08,17
2017-09,18
2017-10,32
2017-11,54
2017-12,0
2018-01,58
2018-02,40
2018-03,30
2018-04,17
2018-05,8
2018-06,40
2018-07,23
2018-08,33
2018-09,34
2018-10,16
2018-11,39
2018-12,8
2019-01,36
2019-02,65
2019-03,16
2019-04,8
2019-05,39
2019-06,49
2019-07,16
2019-08,32
2019-09,32
2019-10,44
2019-11,50
2019-12,15
2020-01,52
2020-02,27
2020-03,31
2020-04,39
2020-05,36
2020-06,71
2020-07,54
2020-08,42
2020-09,28
2020-10,47
2020-11,32
2020-12,13
2021-01,0
