Category: All categories

Month,1 lira: (Romania)
2012-01,8
2012-02,0
2012-03,34
2012-04,37
2012-05,26
2012-06,19
2012-07,20
2012-08,80
2012-09,10
2012-10,17
2012-11,25
2012-12,8
2013-01,21
2013-02,16
2013-03,7
2013-04,24
2013-05,8
2013-06,0
2013-07,63
2013-08,25
2013-09,32
2013-10,15
2013-11,36
2013-12,29
2014-01,32
2014-02,22
2014-03,27
2014-04,29
2014-05,15
2014-06,16
2014-07,24
2014-08,51
2014-09,40
2014-10,58
2014-11,14
2014-12,28
2015-01,18
2015-02,19
2015-03,49
2015-04,26
2015-05,25
2015-06,20
2015-07,29
2015-08,36
2015-09,50
2015-10,26
2015-11,26
2015-12,46
2016-01,42
2016-02,46
2016-03,44
2016-04,64
2016-05,27
2016-06,72
2016-07,45
2016-08,39
2016-09,65
2016-10,51
2016-11,50
2016-12,50
2017-01,64
2017-02,28
2017-03,60
2017-04,52
2017-05,59
2017-06,24
2017-07,0
2017-08,30
2017-09,63
2017-10,29
2017-11,68
2017-12,78
2018-01,95
2018-02,48
2018-03,26
2018-04,30
2018-05,20
2018-06,21
2018-07,34
2018-08,92
2018-09,89
2018-10,56
2018-11,75
2018-12,49
2019-01,100
2019-02,70
2019-03,62
2019-04,88
2019-05,79
2019-06,56
2019-07,95
2019-08,70
2019-09,97
2019-10,83
2019-11,37
2019-12,76
2020-01,50
2020-02,71
2020-03,75
2020-04,45
2020-05,16
2020-06,45
2020-07,30
2020-08,30
2020-09,66
2020-10,86
2020-11,50
2020-12,63
2021-01,16
