Category: All categories

Month,GBP to lei: (Romania)
2012-01,0
2012-02,0
2012-03,0
2012-04,24
2012-05,0
2012-06,0
2012-07,13
2012-08,0
2012-09,13
2012-10,11
2012-11,0
2012-12,31
2013-01,9
2013-02,20
2013-03,0
2013-04,10
2013-05,0
2013-06,10
2013-07,10
2013-08,0
2013-09,0
2013-10,10
2013-11,19
2013-12,28
2014-01,0
2014-02,18
2014-03,18
2014-04,9
2014-05,19
2014-06,10
2014-07,0
2014-08,22
2014-09,10
2014-10,9
2014-11,0
2014-12,36
2015-01,39
2015-02,8
2015-03,16
2015-04,0
2015-05,16
2015-06,17
2015-07,74
2015-08,56
2015-09,37
2015-10,17
2015-11,17
2015-12,25
2016-01,46
2016-02,17
2016-03,32
2016-04,37
2016-05,53
2016-06,93
2016-07,48
2016-08,51
2016-09,73
2016-10,56
2016-11,18
2016-12,55
2017-01,41
2017-02,27
2017-03,26
2017-04,48
2017-05,19
2017-06,31
2017-07,40
2017-08,49
2017-09,50
2017-10,83
2017-11,43
2017-12,100
2018-01,41
2018-02,80
2018-03,58
2018-04,49
2018-05,18
2018-06,27
2018-07,35
2018-08,64
2018-09,48
2018-10,45
2018-11,17
2018-12,27
2019-01,24
2019-02,36
2019-03,62
2019-04,75
2019-05,25
2019-06,18
2019-07,53
2019-08,54
2019-09,53
2019-10,33
2019-11,55
2019-12,16
2020-01,58
2020-02,15
2020-03,14
2020-04,21
2020-05,34
2020-06,22
2020-07,23
2020-08,62
2020-09,62
2020-10,30
2020-11,43
2020-12,81
2021-01,48
