Category: All categories

Month,GBP to ron: (Romania)
2012-01,0
2012-02,0
2012-03,11
2012-04,12
2012-05,17
2012-06,12
2012-07,15
2012-08,16
2012-09,19
2012-10,11
2012-11,11
2012-12,10
2013-01,11
2013-02,10
2013-03,23
2013-04,5
2013-05,26
2013-06,8
2013-07,25
2013-08,11
2013-09,20
2013-10,12
2013-11,21
2013-12,21
2014-01,20
2014-02,18
2014-03,13
2014-04,9
2014-05,28
2014-06,13
2014-07,35
2014-08,35
2014-09,23
2014-10,21
2014-11,15
2014-12,44
2015-01,29
2015-02,32
2015-03,25
2015-04,29
2015-05,12
2015-06,29
2015-07,55
2015-08,27
2015-09,29
2015-10,52
2015-11,29
2015-12,23
2016-01,34
2016-02,14
2016-03,38
2016-04,27
2016-05,30
2016-06,100
2016-07,47
2016-08,55
2016-09,36
2016-10,41
2016-11,54
2016-12,38
2017-01,44
2017-02,40
2017-03,46
2017-04,42
2017-05,37
2017-06,37
2017-07,49
2017-08,53
2017-09,47
2017-10,45
2017-11,49
2017-12,58
2018-01,50
2018-02,48
2018-03,26
2018-04,69
2018-05,54
2018-06,33
2018-07,66
2018-08,42
2018-09,65
2018-10,42
2018-11,45
2018-12,44
2019-01,47
2019-02,24
2019-03,33
2019-04,48
2019-05,70
2019-06,65
2019-07,52
2019-08,53
2019-09,35
2019-10,68
2019-11,48
2019-12,60
2020-01,41
2020-02,49
2020-03,59
2020-04,47
2020-05,38
2020-06,39
2020-07,52
2020-08,48
2020-09,70
2020-10,40
2020-11,40
2020-12,47
2021-01,45
