Category: All categories

Month,bani anglia: (Romania)
2012-01,0
2012-02,52
2012-03,17
2012-04,19
2012-05,0
2012-06,20
2012-07,0
2012-08,62
2012-09,21
2012-10,54
2012-11,52
2012-12,0
2013-01,30
2013-02,0
2013-03,15
2013-04,0
2013-05,17
2013-06,17
2013-07,33
2013-08,0
2013-09,0
2013-10,0
2013-11,15
2013-12,45
2014-01,13
2014-02,15
2014-03,14
2014-04,15
2014-05,31
2014-06,33
2014-07,49
2014-08,35
2014-09,0
2014-10,15
2014-11,14
2014-12,0
2015-01,50
2015-02,27
2015-03,0
2015-04,14
2015-05,13
2015-06,14
2015-07,45
2015-08,75
2015-09,74
2015-10,68
2015-11,40
2015-12,27
2016-01,50
2016-02,41
2016-03,39
2016-04,29
2016-05,14
2016-06,45
2016-07,15
2016-08,49
2016-09,67
2016-10,30
2016-11,29
2016-12,45
2017-01,53
2017-02,29
2017-03,55
2017-04,31
2017-05,15
2017-06,16
2017-07,33
2017-08,31
2017-09,0
2017-10,45
2017-11,42
2017-12,29
2018-01,39
2018-02,100
2018-03,40
2018-04,47
2018-05,56
2018-06,0
2018-07,56
2018-08,15
2018-09,46
2018-10,29
2018-11,28
2018-12,29
2019-01,39
2019-02,15
2019-03,43
2019-04,15
2019-05,14
2019-06,15
2019-07,28
2019-08,15
2019-09,14
2019-10,26
2019-11,51
2019-12,39
2020-01,47
2020-02,37
2020-03,22
2020-04,23
2020-05,11
2020-06,0
2020-07,12
2020-08,50
2020-09,37
2020-10,24
2020-11,23
2020-12,12
2021-01,44
