Category: All categories

Month,curs valutar lira sterlina: (Romania)
2012-01,9
2012-02,22
2012-03,25
2012-04,5
2012-05,13
2012-06,11
2012-07,32
2012-08,27
2012-09,18
2012-10,10
2012-11,25
2012-12,17
2013-01,21
2013-02,12
2013-03,11
2013-04,14
2013-05,10
2013-06,19
2013-07,33
2013-08,15
2013-09,24
2013-10,20
2013-11,22
2013-12,17
2014-01,21
2014-02,11
2014-03,12
2014-04,17
2014-05,17
2014-06,7
2014-07,23
2014-08,15
2014-09,17
2014-10,6
2014-11,18
2014-12,18
2015-01,21
2015-02,15
2015-03,22
2015-04,23
2015-05,26
2015-06,35
2015-07,38
2015-08,30
2015-09,50
2015-10,40
2015-11,31
2015-12,33
2016-01,34
2016-02,50
2016-03,19
2016-04,46
2016-05,38
2016-06,100
2016-07,97
2016-08,72
2016-09,55
2016-10,71
2016-11,46
2016-12,65
2017-01,66
2017-02,56
2017-03,41
2017-04,40
2017-05,26
2017-06,49
2017-07,46
2017-08,54
2017-09,44
2017-10,59
2017-11,26
2017-12,42
2018-01,47
2018-02,35
2018-03,23
2018-04,33
2018-05,30
2018-06,23
2018-07,10
2018-08,40
2018-09,39
2018-10,23
2018-11,14
2018-12,12
2019-01,29
2019-02,21
2019-03,37
2019-04,34
2019-05,29
2019-06,25
2019-07,26
2019-08,45
2019-09,31
2019-10,53
2019-11,31
2019-12,32
2020-01,45
2020-02,42
2020-03,41
2020-04,36
2020-05,31
2020-06,32
2020-07,33
2020-08,36
2020-09,23
2020-10,29
2020-11,23
2020-12,37
2021-01,25
