Category: All categories

Month,lei to GBP: (Romania)
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,14
2012-07,14
2012-08,14
2012-09,0
2012-10,0
2012-11,12
2012-12,0
2013-01,0
2013-02,0
2013-03,10
2013-04,11
2013-05,23
2013-06,11
2013-07,11
2013-08,23
2013-09,0
2013-10,32
2013-11,21
2013-12,0
2014-01,18
2014-02,20
2014-03,19
2014-04,21
2014-05,10
2014-06,0
2014-07,11
2014-08,36
2014-09,0
2014-10,10
2014-11,29
2014-12,20
2015-01,0
2015-02,37
2015-03,17
2015-04,46
2015-05,27
2015-06,19
2015-07,10
2015-08,61
2015-09,30
2015-10,28
2015-11,27
2015-12,37
2016-01,17
2016-02,9
2016-03,27
2016-04,10
2016-05,10
2016-06,100
2016-07,43
2016-08,56
2016-09,34
2016-10,10
2016-11,40
2016-12,40
2017-01,54
2017-02,70
2017-03,47
2017-04,21
2017-05,10
2017-06,56
2017-07,44
2017-08,32
2017-09,55
2017-10,69
2017-11,85
2017-12,40
2018-01,35
2018-02,68
2018-03,36
2018-04,32
2018-05,38
2018-06,39
2018-07,10
2018-08,60
2018-09,42
2018-10,40
2018-11,48
2018-12,59
2019-01,44
2019-02,69
2019-03,67
2019-04,51
2019-05,38
2019-06,30
2019-07,68
2019-08,98
2019-09,59
2019-10,27
2019-11,35
2019-12,72
2020-01,87
2020-02,41
2020-03,22
2020-04,31
2020-05,30
2020-06,16
2020-07,58
2020-08,51
2020-09,34
2020-10,24
2020-11,23
2020-12,39
2021-01,37
