Category: All categories

Month,lei to pound: (Romania)
2012-01,0
2012-02,13
2012-03,26
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,12
2013-01,0
2013-02,0
2013-03,11
2013-04,0
2013-05,25
2013-06,0
2013-07,0
2013-08,26
2013-09,0
2013-10,23
2013-11,0
2013-12,22
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,12
2014-07,12
2014-08,0
2014-09,12
2014-10,0
2014-11,21
2014-12,11
2015-01,19
2015-02,0
2015-03,9
2015-04,0
2015-05,19
2015-06,20
2015-07,0
2015-08,22
2015-09,0
2015-10,20
2015-11,0
2015-12,10
2016-01,19
2016-02,20
2016-03,10
2016-04,11
2016-05,0
2016-06,100
2016-07,34
2016-08,61
2016-09,37
2016-10,34
2016-11,0
2016-12,22
2017-01,30
2017-02,11
2017-03,0
2017-04,12
2017-05,34
2017-06,37
2017-07,12
2017-08,12
2017-09,24
2017-10,22
2017-11,21
2017-12,11
2018-01,19
2018-02,21
2018-03,10
2018-04,0
2018-05,52
2018-06,43
2018-07,52
2018-08,22
2018-09,11
2018-10,22
2018-11,42
2018-12,11
2019-01,10
2019-02,22
2019-03,64
2019-04,45
2019-05,30
2019-06,11
2019-07,21
2019-08,11
2019-09,32
2019-10,78
2019-11,75
2019-12,58
2020-01,17
2020-02,37
2020-03,33
2020-04,43
2020-05,73
2020-06,26
2020-07,18
2020-08,37
2020-09,28
2020-10,44
2020-11,60
2020-12,9
2021-01,41
