Category: All categories

Month,ron to GBP: (Romania)
2012-01,9
2012-02,6
2012-03,6
2012-04,17
2012-05,16
2012-06,7
2012-07,4
2012-08,4
2012-09,18
2012-10,16
2012-11,12
2012-12,12
2013-01,5
2013-02,17
2013-03,8
2013-04,15
2013-05,24
2013-06,18
2013-07,15
2013-08,18
2013-09,24
2013-10,14
2013-11,41
2013-12,13
2014-01,28
2014-02,21
2014-03,18
2014-04,30
2014-05,41
2014-06,32
2014-07,30
2014-08,16
2014-09,24
2014-10,32
2014-11,28
2014-12,39
2015-01,32
2015-02,31
2015-03,27
2015-04,31
2015-05,30
2015-06,37
2015-07,42
2015-08,54
2015-09,58
2015-10,46
2015-11,67
2015-12,31
2016-01,35
2016-02,45
2016-03,28
2016-04,27
2016-05,48
2016-06,100
2016-07,79
2016-08,62
2016-09,51
2016-10,52
2016-11,87
2016-12,55
2017-01,70
2017-02,34
2017-03,27
2017-04,46
2017-05,27
2017-06,62
2017-07,61
2017-08,53
2017-09,86
2017-10,29
2017-11,65
2017-12,76
2018-01,39
2018-02,54
2018-03,19
2018-04,55
2018-05,35
2018-06,26
2018-07,70
2018-08,55
2018-09,47
2018-10,44
2018-11,58
2018-12,54
2019-01,65
2019-02,60
2019-03,66
2019-04,51
2019-05,42
2019-06,71
2019-07,54
2019-08,70
2019-09,46
2019-10,63
2019-11,41
2019-12,68
2020-01,56
2020-02,57
2020-03,69
2020-04,50
2020-05,68
2020-06,47
2020-07,52
2020-08,58
2020-09,42
2020-10,36
2020-11,43
2020-12,50
2021-01,45
