Category: All categories

Month,ron to pound: (Romania)
2012-01,0
2012-02,12
2012-03,0
2012-04,0
2012-05,25
2012-06,27
2012-07,0
2012-08,14
2012-09,0
2012-10,12
2012-11,0
2012-12,0
2013-01,0
2013-02,22
2013-03,21
2013-04,0
2013-05,23
2013-06,11
2013-07,0
2013-08,0
2013-09,12
2013-10,0
2013-11,31
2013-12,0
2014-01,9
2014-02,10
2014-03,19
2014-04,0
2014-05,0
2014-06,11
2014-07,22
2014-08,12
2014-09,23
2014-10,20
2014-11,10
2014-12,29
2015-01,0
2015-02,0
2015-03,9
2015-04,28
2015-05,0
2015-06,28
2015-07,10
2015-08,10
2015-09,20
2015-10,18
2015-11,9
2015-12,9
2016-01,8
2016-02,0
2016-03,27
2016-04,20
2016-05,10
2016-06,100
2016-07,53
2016-08,33
2016-09,56
2016-10,52
2016-11,40
2016-12,30
2017-01,18
2017-02,20
2017-03,47
2017-04,21
2017-05,10
2017-06,22
2017-07,66
2017-08,85
2017-09,11
2017-10,0
2017-11,38
2017-12,50
2018-01,26
2018-02,29
2018-03,27
2018-04,32
2018-05,10
2018-06,19
2018-07,19
2018-08,30
2018-09,21
2018-10,20
2018-11,38
2018-12,10
2019-01,18
2019-02,20
2019-03,29
2019-04,30
2019-05,28
2019-06,50
2019-07,0
2019-08,39
2019-09,10
2019-10,80
2019-11,35
2019-12,45
2020-01,48
2020-02,25
2020-03,60
2020-04,24
2020-05,30
2020-06,16
2020-07,33
2020-08,34
2020-09,51
2020-10,16
2020-11,15
2020-12,16
2021-01,22
