Category: All categories

Month,salariu UK: (Romania)
2012-01,0
2012-02,0
2012-03,29
2012-04,0
2012-05,0
2012-06,0
2012-07,67
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,25
2013-04,55
2013-05,0
2013-06,28
2013-07,54
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,25
2014-01,65
2014-02,0
2014-03,0
2014-04,100
2014-05,50
2014-06,55
2014-07,27
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,24
2015-01,21
2015-02,0
2015-03,0
2015-04,45
2015-05,65
2015-06,0
2015-07,24
2015-08,50
2015-09,24
2015-10,0
2015-11,45
2015-12,45
2016-01,0
2016-02,22
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,28
2016-10,0
2016-11,0
2016-12,0
2017-01,22
2017-02,0
2017-03,0
2017-04,25
2017-05,25
2017-06,54
2017-07,0
2017-08,0
2017-09,0
2017-10,72
2017-11,23
2017-12,24
2018-01,0
2018-02,48
2018-03,0
2018-04,0
2018-05,0
2018-06,48
2018-07,23
2018-08,24
2018-09,0
2018-10,24
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,23
2019-06,48
2019-07,24
2019-08,48
2019-09,48
2019-10,22
2019-11,21
2019-12,0
2020-01,19
2020-02,20
2020-03,0
2020-04,19
2020-05,0
2020-06,19
2020-07,20
2020-08,21
2020-09,41
2020-10,20
2020-11,0
2020-12,0
2021-01,18
