Category: All categories

Month,salary UK: (Romania)
2012-01,28
2012-02,0
2012-03,30
2012-04,22
2012-05,21
2012-06,23
2012-07,12
2012-08,12
2012-09,47
2012-10,20
2012-11,20
2012-12,19
2013-01,17
2013-02,9
2013-03,9
2013-04,0
2013-05,19
2013-06,29
2013-07,37
2013-08,10
2013-09,10
2013-10,17
2013-11,34
2013-12,43
2014-01,38
2014-02,17
2014-03,40
2014-04,95
2014-05,52
2014-06,9
2014-07,37
2014-08,30
2014-09,29
2014-10,34
2014-11,49
2014-12,24
2015-01,21
2015-02,38
2015-03,57
2015-04,15
2015-05,7
2015-06,100
2015-07,42
2015-08,76
2015-09,25
2015-10,38
2015-11,30
2015-12,54
2016-01,35
2016-02,31
2016-03,97
2016-04,17
2016-05,32
2016-06,51
2016-07,35
2016-08,19
2016-09,28
2016-10,9
2016-11,59
2016-12,34
2017-01,23
2017-02,50
2017-03,47
2017-04,70
2017-05,43
2017-06,47
2017-07,46
2017-08,53
2017-09,65
2017-10,25
2017-11,64
2017-12,42
2018-01,45
2018-02,89
2018-03,45
2018-04,9
2018-05,24
2018-06,25
2018-07,71
2018-08,42
2018-09,43
2018-10,25
2018-11,72
2018-12,33
2019-01,37
2019-02,17
2019-03,57
2019-04,17
2019-05,39
2019-06,75
2019-07,56
2019-08,41
2019-09,57
2019-10,67
2019-11,0
2019-12,15
2020-01,53
2020-02,35
2020-03,32
2020-04,26
2020-05,25
2020-06,46
2020-07,28
2020-08,50
2020-09,56
2020-10,47
2020-11,39
2020-12,47
2021-01,25
