Category: All categories

Month,horse: (Romania)
2012-01,69
2012-02,54
2012-03,52
2012-04,40
2012-05,46
2012-06,50
2012-07,44
2012-08,54
2012-09,42
2012-10,41
2012-11,50
2012-12,41
2013-01,40
2013-02,42
2013-03,39
2013-04,40
2013-05,35
2013-06,30
2013-07,39
2013-08,39
2013-09,39
2013-10,27
2013-11,39
2013-12,40
2014-01,41
2014-02,45
2014-03,73
2014-04,100
2014-05,77
2014-06,73
2014-07,64
2014-08,61
2014-09,44
2014-10,38
2014-11,36
2014-12,40
2015-01,38
2015-02,36
2015-03,32
2015-04,38
2015-05,33
2015-06,44
2015-07,33
2015-08,44
2015-09,42
2015-10,43
2015-11,35
2015-12,34
2016-01,31
2016-02,34
2016-03,29
2016-04,35
2016-05,34
2016-06,32
2016-07,34
2016-08,39
2016-09,34
2016-10,29
2016-11,32
2016-12,29
2017-01,31
2017-02,28
2017-03,28
2017-04,35
2017-05,29
2017-06,32
2017-07,26
2017-08,28
2017-09,28
2017-10,28
2017-11,24
2017-12,29
2018-01,22
2018-02,28
2018-03,22
2018-04,21
2018-05,25
2018-06,26
2018-07,27
2018-08,38
2018-09,29
2018-10,22
2018-11,30
2018-12,28
2019-01,24
2019-02,26
2019-03,24
2019-04,32
2019-05,34
2019-06,30
2019-07,29
2019-08,37
2019-09,37
2019-10,29
2019-11,28
2019-12,39
2020-01,34
2020-02,25
2020-03,36
2020-04,34
2020-05,34
2020-06,29
2020-07,32
2020-08,33
2020-09,30
2020-10,31
2020-11,27
2020-12,23
2021-01,33
