Category: All categories

Month,tree: (Romania)
2012-01,70
2012-02,81
2012-03,63
2012-04,65
2012-05,56
2012-06,61
2012-07,62
2012-08,58
2012-09,61
2012-10,44
2012-11,56
2012-12,83
2013-01,49
2013-02,54
2013-03,44
2013-04,45
2013-05,42
2013-06,50
2013-07,51
2013-08,43
2013-09,36
2013-10,39
2013-11,57
2013-12,97
2014-01,48
2014-02,48
2014-03,44
2014-04,48
2014-05,53
2014-06,50
2014-07,48
2014-08,51
2014-09,50
2014-10,41
2014-11,60
2014-12,100
2015-01,47
2015-02,44
2015-03,49
2015-04,52
2015-05,53
2015-06,48
2015-07,43
2015-08,46
2015-09,42
2015-10,44
2015-11,53
2015-12,100
2016-01,48
2016-02,43
2016-03,39
2016-04,53
2016-05,49
2016-06,52
2016-07,49
2016-08,44
2016-09,48
2016-10,43
2016-11,50
2016-12,80
2017-01,46
2017-02,38
2017-03,44
2017-04,52
2017-05,44
2017-06,40
2017-07,37
2017-08,46
2017-09,47
2017-10,46
2017-11,55
2017-12,78
2018-01,45
2018-02,42
2018-03,43
2018-04,45
2018-05,44
2018-06,42
2018-07,40
2018-08,41
2018-09,43
2018-10,47
2018-11,49
2018-12,91
2019-01,40
2019-02,46
2019-03,45
2019-04,47
2019-05,42
2019-06,47
2019-07,47
2019-08,37
2019-09,42
2019-10,50
2019-11,59
2019-12,87
2020-01,50
2020-02,44
2020-03,44
2020-04,54
2020-05,52
2020-06,49
2020-07,43
2020-08,42
2020-09,41
2020-10,46
2020-11,55
2020-12,79
2021-01,42
