Category: All categories

Month,jobs uk: (Romania)
2012-01,71
2012-02,31
2012-03,54
2012-04,43
2012-05,45
2012-06,53
2012-07,46
2012-08,80
2012-09,51
2012-10,60
2012-11,31
2012-12,34
2013-01,43
2013-02,40
2013-03,27
2013-04,41
2013-05,11
2013-06,30
2013-07,33
2013-08,69
2013-09,50
2013-10,63
2013-11,75
2013-12,34
2014-01,97
2014-02,90
2014-03,60
2014-04,41
2014-05,61
2014-06,74
2014-07,93
2014-08,67
2014-09,60
2014-10,77
2014-11,49
2014-12,58
2015-01,99
2015-02,69
2015-03,80
2015-04,67
2015-05,58
2015-06,92
2015-07,59
2015-08,84
2015-09,99
2015-10,91
2015-11,63
2015-12,66
2016-01,100
2016-02,63
2016-03,56
2016-04,63
2016-05,41
2016-06,56
2016-07,35
2016-08,44
2016-09,48
2016-10,58
2016-11,26
2016-12,43
2017-01,80
2017-02,56
2017-03,52
2017-04,48
2017-05,34
2017-06,37
2017-07,51
2017-08,35
2017-09,36
2017-10,49
2017-11,44
2017-12,30
2018-01,44
2018-02,23
2018-03,39
2018-04,31
2018-05,51
2018-06,26
2018-07,38
2018-08,43
2018-09,52
2018-10,46
2018-11,19
2018-12,42
2019-01,44
2019-02,29
2019-03,29
2019-04,10
2019-05,37
2019-06,36
2019-07,61
2019-08,29
2019-09,36
2019-10,26
2019-11,37
2019-12,21
2020-01,39
2020-02,25
2020-03,20
2020-04,13
2020-05,22
2020-06,39
2020-07,35
2020-08,22
2020-09,42
2020-10,29
2020-11,23
2020-12,16
2021-01,32
