Category: All categories

Month,munca Anglia: (Romania)
2012-01,22
2012-02,26
2012-03,20
2012-04,29
2012-05,21
2012-06,17
2012-07,24
2012-08,41
2012-09,46
2012-10,20
2012-11,17
2012-12,21
2013-01,43
2013-02,37
2013-03,23
2013-04,22
2013-05,15
2013-06,25
2013-07,25
2013-08,31
2013-09,27
2013-10,27
2013-11,22
2013-12,25
2014-01,100
2014-02,56
2014-03,37
2014-04,27
2014-05,38
2014-06,47
2014-07,56
2014-08,41
2014-09,59
2014-10,47
2014-11,47
2014-12,38
2015-01,74
2015-02,68
2015-03,49
2015-04,35
2015-05,45
2015-06,62
2015-07,67
2015-08,71
2015-09,72
2015-10,61
2015-11,46
2015-12,47
2016-01,95
2016-02,68
2016-03,69
2016-04,51
2016-05,50
2016-06,37
2016-07,32
2016-08,34
2016-09,26
2016-10,36
2016-11,26
2016-12,36
2017-01,46
2017-02,42
2017-03,28
2017-04,21
2017-05,16
2017-06,25
2017-07,26
2017-08,29
2017-09,30
2017-10,24
2017-11,29
2017-12,32
2018-01,52
2018-02,40
2018-03,34
2018-04,25
2018-05,11
2018-06,27
2018-07,27
2018-08,30
2018-09,26
2018-10,16
2018-11,31
2018-12,19
2019-01,41
2019-02,27
2019-03,20
2019-04,18
2019-05,12
2019-06,21
2019-07,19
2019-08,23
2019-09,16
2019-10,15
2019-11,18
2019-12,17
2020-01,26
2020-02,19
2020-03,8
2020-04,15
2020-05,19
2020-06,21
2020-07,16
2020-08,9
2020-09,16
2020-10,13
2020-11,9
2020-12,10
2021-01,20
