Category: All categories

Month,1 pound: (Romania)
2012-01,32
2012-02,42
2012-03,8
2012-04,37
2012-05,26
2012-06,19
2012-07,88
2012-08,60
2012-09,10
2012-10,17
2012-11,33
2012-12,48
2013-01,28
2013-02,47
2013-03,29
2013-04,24
2013-05,16
2013-06,24
2013-07,16
2013-08,33
2013-09,40
2013-10,44
2013-11,29
2013-12,22
2014-01,32
2014-02,43
2014-03,34
2014-04,44
2014-05,36
2014-06,39
2014-07,16
2014-08,34
2014-09,16
2014-10,36
2014-11,34
2014-12,28
2015-01,66
2015-02,19
2015-03,24
2015-04,46
2015-05,31
2015-06,39
2015-07,50
2015-08,43
2015-09,49
2015-10,45
2015-11,51
2015-12,19
2016-01,30
2016-02,58
2016-03,25
2016-04,35
2016-05,14
2016-06,100
2016-07,81
2016-08,55
2016-09,72
2016-10,36
2016-11,42
2016-12,14
2017-01,25
2017-02,21
2017-03,46
2017-04,52
2017-05,51
2017-06,31
2017-07,54
2017-08,38
2017-09,39
2017-10,35
2017-11,60
2017-12,42
2018-01,44
2018-02,14
2018-03,32
2018-04,7
2018-05,20
2018-06,69
2018-07,74
2018-08,56
2018-09,59
2018-10,63
2018-11,67
2018-12,14
2019-01,50
2019-02,77
2019-03,68
2019-04,22
2019-05,19
2019-06,28
2019-07,34
2019-08,49
2019-09,69
2019-10,44
2019-11,18
2019-12,44
2020-01,22
2020-02,24
2020-03,59
2020-04,72
2020-05,52
2020-06,73
2020-07,47
2020-08,42
2020-09,36
2020-10,46
2020-11,33
2020-12,68
2021-01,58
