Category: All categories

Month,British pound: (Romania)
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,17
2012-08,0
2012-09,18
2012-10,30
2012-11,0
2012-12,14
2013-01,0
2013-02,0
2013-03,13
2013-04,14
2013-05,0
2013-06,28
2013-07,0
2013-08,15
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,22
2014-02,0
2014-03,12
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,15
2014-09,14
2014-10,0
2014-11,49
2014-12,0
2015-01,32
2015-02,0
2015-03,11
2015-04,0
2015-05,11
2015-06,12
2015-07,0
2015-08,13
2015-09,13
2015-10,0
2015-11,0
2015-12,0
2016-01,11
2016-02,11
2016-03,22
2016-04,25
2016-05,0
2016-06,100
2016-07,13
2016-08,42
2016-09,28
2016-10,52
2016-11,0
2016-12,0
2017-01,11
2017-02,12
2017-03,0
2017-04,13
2017-05,0
2017-06,14
2017-07,0
2017-08,0
2017-09,27
2017-10,0
2017-11,24
2017-12,12
2018-01,0
2018-02,0
2018-03,11
2018-04,13
2018-05,0
2018-06,0
2018-07,12
2018-08,0
2018-09,0
2018-10,12
2018-11,24
2018-12,37
2019-01,11
2019-02,0
2019-03,24
2019-04,0
2019-05,0
2019-06,12
2019-07,0
2019-08,12
2019-09,12
2019-10,22
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,28
2020-04,0
2020-05,0
2020-06,20
2020-07,10
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,10
2021-01,0
