Category: All categories

Month,cat e lira: (Romania)
2012-01,0
2012-02,33
2012-03,0
2012-04,0
2012-05,70
2012-06,0
2012-07,0
2012-08,0
2012-09,20
2012-10,0
2012-11,0
2012-12,16
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,16
2013-07,16
2013-08,17
2013-09,16
2013-10,15
2013-11,0
2013-12,29
2014-01,0
2014-02,43
2014-03,14
2014-04,15
2014-05,0
2014-06,32
2014-07,47
2014-08,0
2014-09,32
2014-10,0
2014-11,28
2014-12,28
2015-01,36
2015-02,0
2015-03,0
2015-04,0
2015-05,12
2015-06,13
2015-07,14
2015-08,43
2015-09,43
2015-10,65
2015-11,0
2015-12,52
2016-01,24
2016-02,26
2016-03,25
2016-04,71
2016-05,68
2016-06,86
2016-07,59
2016-08,47
2016-09,0
2016-10,43
2016-11,85
2016-12,100
2017-01,76
2017-02,28
2017-03,40
2017-04,30
2017-05,0
2017-06,32
2017-07,47
2017-08,30
2017-09,31
2017-10,29
2017-11,54
2017-12,28
2018-01,50
2018-02,41
2018-03,38
2018-04,60
2018-05,68
2018-06,42
2018-07,13
2018-08,28
2018-09,0
2018-10,28
2018-11,14
2018-12,28
2019-01,75
2019-02,56
2019-03,82
2019-04,73
2019-05,65
2019-06,42
2019-07,27
2019-08,98
2019-09,41
2019-10,38
2019-11,73
2019-12,25
2020-01,34
2020-02,47
2020-03,43
2020-04,56
2020-05,73
2020-06,45
2020-07,35
2020-08,72
2020-09,36
2020-10,23
2020-11,33
2020-12,57
2021-01,42
