Category: All categories

Month,one pound: (Romania)
2012-01,0
2012-02,0
2012-03,26
2012-04,0
2012-05,0
2012-06,30
2012-07,0
2012-08,63
2012-09,31
2012-10,0
2012-11,0
2012-12,76
2013-01,67
2013-02,25
2013-03,69
2013-04,0
2013-05,0
2013-06,25
2013-07,0
2013-08,26
2013-09,0
2013-10,23
2013-11,0
2013-12,0
2014-01,20
2014-02,0
2014-03,43
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,25
2014-10,0
2014-11,0
2014-12,43
2015-01,19
2015-02,0
2015-03,38
2015-04,0
2015-05,20
2015-06,41
2015-07,0
2015-08,68
2015-09,67
2015-10,20
2015-11,61
2015-12,41
2016-01,38
2016-02,41
2016-03,40
2016-04,22
2016-05,21
2016-06,23
2016-07,0
2016-08,0
2016-09,25
2016-10,45
2016-11,0
2016-12,0
2017-01,100
2017-02,22
2017-03,42
2017-04,70
2017-05,0
2017-06,25
2017-07,98
2017-08,47
2017-09,25
2017-10,67
2017-11,21
2017-12,66
2018-01,20
2018-02,43
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,21
2018-08,44
2018-09,93
2018-10,44
2018-11,64
2018-12,0
2019-01,20
2019-02,44
2019-03,0
2019-04,0
2019-05,41
2019-06,44
2019-07,0
2019-08,44
2019-09,0
2019-10,40
2019-11,0
2019-12,0
2020-01,35
2020-02,93
2020-03,34
2020-04,17
2020-05,49
2020-06,0
2020-07,56
2020-08,19
2020-09,19
2020-10,0
2020-11,0
2020-12,18
2021-01,33
