Category: All categories

Month,pound sterling: (Romania)
2012-01,34
2012-02,36
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,34
2013-01,0
2013-02,33
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,35
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,58
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,36
2014-09,0
2014-10,0
2014-11,59
2014-12,0
2015-01,26
2015-02,0
2015-03,52
2015-04,56
2015-05,0
2015-06,56
2015-07,0
2015-08,0
2015-09,0
2015-10,83
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,31
2016-07,0
2016-08,34
2016-09,0
2016-10,93
2016-11,30
2016-12,30
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,62
2017-06,0
2017-07,0
2017-08,32
2017-09,100
2017-10,30
2017-11,29
2017-12,0
2018-01,27
2018-02,59
2018-03,27
2018-04,0
2018-05,29
2018-06,0
2018-07,86
2018-08,30
2018-09,31
2018-10,0
2018-11,29
2018-12,30
2019-01,53
2019-02,0
2019-03,59
2019-04,0
2019-05,28
2019-06,60
2019-07,0
2019-08,0
2019-09,0
2019-10,27
2019-11,52
2019-12,0
2020-01,24
2020-02,25
2020-03,68
2020-04,0
2020-05,22
2020-06,24
2020-07,25
2020-08,26
2020-09,77
2020-10,49
2020-11,24
2020-12,24
2021-01,22
