Category: All categories

Month,pret lira: (Romania)
2012-01,23
2012-02,12
2012-03,24
2012-04,40
2012-05,13
2012-06,14
2012-07,43
2012-08,0
2012-09,29
2012-10,50
2012-11,12
2012-12,12
2013-01,10
2013-02,11
2013-03,11
2013-04,23
2013-05,0
2013-06,12
2013-07,46
2013-08,12
2013-09,36
2013-10,11
2013-11,11
2013-12,10
2014-01,37
2014-02,21
2014-03,20
2014-04,21
2014-05,21
2014-06,0
2014-07,12
2014-08,12
2014-09,24
2014-10,52
2014-11,20
2014-12,10
2015-01,18
2015-02,56
2015-03,18
2015-04,0
2015-05,36
2015-06,19
2015-07,83
2015-08,11
2015-09,41
2015-10,38
2015-11,28
2015-12,28
2016-01,43
2016-02,47
2016-03,46
2016-04,10
2016-05,39
2016-06,82
2016-07,44
2016-08,46
2016-09,23
2016-10,43
2016-11,72
2016-12,62
2017-01,9
2017-02,21
2017-03,19
2017-04,32
2017-05,11
2017-06,11
2017-07,11
2017-08,33
2017-09,34
2017-10,51
2017-11,19
2017-12,21
2018-01,9
2018-02,30
2018-03,37
2018-04,22
2018-05,20
2018-06,50
2018-07,49
2018-08,52
2018-09,54
2018-10,31
2018-11,39
2018-12,50
2019-01,100
2019-02,20
2019-03,20
2019-04,21
2019-05,48
2019-06,31
2019-07,20
2019-08,30
2019-09,61
2019-10,55
2019-11,18
2019-12,18
2020-01,24
2020-02,51
2020-03,15
2020-04,48
2020-05,23
2020-06,16
2020-07,51
2020-08,26
2020-09,0
2020-10,42
2020-11,48
2020-12,32
2021-01,31
