Category: All categories

Month,salariu Anglia: (Romania)
2012-01,14
2012-02,0
2012-03,14
2012-04,16
2012-05,0
2012-06,0
2012-07,0
2012-08,35
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,12
2013-02,14
2013-03,0
2013-04,14
2013-05,14
2013-06,14
2013-07,0
2013-08,0
2013-09,29
2013-10,0
2013-11,0
2013-12,0
2014-01,11
2014-02,12
2014-03,0
2014-04,0
2014-05,26
2014-06,0
2014-07,14
2014-08,44
2014-09,28
2014-10,25
2014-11,12
2014-12,24
2015-01,42
2015-02,0
2015-03,32
2015-04,0
2015-05,22
2015-06,57
2015-07,49
2015-08,76
2015-09,62
2015-10,0
2015-11,45
2015-12,34
2016-01,10
2016-02,45
2016-03,55
2016-04,100
2016-05,35
2016-06,37
2016-07,26
2016-08,41
2016-09,42
2016-10,13
2016-11,12
2016-12,12
2017-01,44
2017-02,25
2017-03,0
2017-04,0
2017-05,51
2017-06,14
2017-07,27
2017-08,13
2017-09,54
2017-10,24
2017-11,12
2017-12,25
2018-01,43
2018-02,0
2018-03,0
2018-04,26
2018-05,0
2018-06,12
2018-07,12
2018-08,37
2018-09,13
2018-10,0
2018-11,35
2018-12,0
2019-01,11
2019-02,37
2019-03,48
2019-04,25
2019-05,23
2019-06,37
2019-07,36
2019-08,12
2019-09,12
2019-10,0
2019-11,11
2019-12,0
2020-01,20
2020-02,20
2020-03,9
2020-04,39
2020-05,18
2020-06,39
2020-07,41
2020-08,0
2020-09,31
2020-10,30
2020-11,0
2020-12,10
2021-01,9
