Date,evolutie curs lira sterlina,curs valutar lira,curs valutar lira sterlina,currency UK,curs lira sterlina,cat e lira,bani UK,bani anglia,British pound,1 lira,1 pound,one pound,o lira,lira sterlina,money UK,lei to pound,lei to GBP,GBP to ron,GBP to lei,salary UK,salariu Anglia,salariu UK,quid,ron to pound,ron to GBP,pound to lei,pret lira,pound to ron,pound sterling,house england,casa Anglia,residence uk,casa uk,house uk,rent uk,munca uk,munca Anglia,work uk,locuri de munca uk,locuri de munca Anglia,jobs uk,jobs England,study uk,Universities uk,school uk,student uk,school England,education uk,tree,sport,Spain,rocket,mother,horse,Greece,money,grass,flower
2012-01,0,10,9,0,15,0,0,0,0,8,32,0,0,13,25,0,0,0,0,28,14,0,64,0,9,0,23,0,34,33,45,0,0,28,7,42,22,34,28,25,71,61,35,100,66,40,0,34,70,35,47,15,96,69,26,55,37,69
2012-02,41,7,22,0,12,33,30,52,0,0,42,0,11,11,26,13,0,0,0,0,0,0,34,12,6,0,12,12,36,0,34,0,62,39,14,22,26,35,7,32,31,0,74,45,51,14,100,70,81,34,48,14,100,54,27,68,53,81
2012-03,0,6,25,0,15,0,30,17,0,34,8,26,22,10,0,26,0,11,0,30,14,29,33,0,6,0,24,0,0,35,40,0,20,29,0,22,20,58,29,22,54,64,0,15,17,14,67,0,63,57,34,15,67,52,29,69,69,83
2012-04,0,7,5,43,15,0,100,19,0,37,37,0,12,12,0,0,0,12,24,22,16,0,18,0,17,16,40,0,0,78,38,0,23,11,23,30,29,39,24,28,43,24,0,17,38,16,0,39,65,53,53,16,70,40,30,54,90,78
2012-05,0,15,13,0,17,70,0,0,0,26,26,0,0,18,54,0,0,17,0,21,0,0,35,25,16,15,13,25,0,37,35,0,43,30,22,17,21,49,30,20,45,22,0,62,18,15,70,73,56,58,65,19,90,46,41,100,49,70
2012-06,0,5,11,0,13,0,0,20,0,19,19,30,38,17,30,0,14,12,0,23,0,0,19,27,7,17,14,27,0,40,0,0,0,100,24,31,17,67,8,8,53,49,0,34,99,16,38,40,61,46,99,24,76,50,70,58,54,82
2012-07,0,11,32,0,26,0,0,0,17,20,88,0,0,20,0,0,14,15,13,12,0,67,0,0,4,0,43,0,0,82,8,0,0,11,8,38,24,82,34,33,46,100,87,35,20,16,0,0,62,41,65,15,76,44,62,58,52,73
2012-08,0,17,27,0,19,0,0,62,0,80,60,63,66,17,94,0,14,16,0,12,35,0,100,14,4,0,0,14,0,0,0,0,25,35,0,33,41,14,26,39,80,51,0,36,21,68,0,0,58,57,54,19,65,54,52,51,51,64
2012-09,49,17,18,0,23,20,0,21,18,10,10,31,39,18,93,0,0,19,13,47,0,0,60,0,18,18,29,0,0,0,24,47,49,23,25,52,46,14,9,40,51,25,87,36,41,17,0,42,61,55,53,12,76,42,30,52,60,63
2012-10,0,12,10,0,23,0,0,54,30,17,17,0,0,11,27,0,0,11,11,20,0,0,52,12,16,0,50,12,0,36,21,0,21,0,0,11,20,36,15,14,60,0,0,15,18,14,0,72,44,60,39,13,86,41,26,51,52,60
