Category: All categories

Month,student uk: (Romania)
2012-01,40
2012-02,14
2012-03,14
2012-04,16
2012-05,15
2012-06,16
2012-07,16
2012-08,68
2012-09,17
2012-10,14
2012-11,0
2012-12,0
2013-01,0
2013-02,52
2013-03,12
2013-04,40
2013-05,0
2013-06,40
2013-07,26
2013-08,55
2013-09,55
2013-10,25
2013-11,0
2013-12,24
2014-01,32
2014-02,0
2014-03,23
2014-04,12
2014-05,12
2014-06,27
2014-07,13
2014-08,28
2014-09,41
2014-10,36
2014-11,35
2014-12,35
2015-01,10
2015-02,33
2015-03,20
2015-04,55
2015-05,42
2015-06,22
2015-07,24
2015-08,12
2015-09,24
2015-10,33
2015-11,11
2015-12,22
2016-01,10
2016-02,11
2016-03,32
2016-04,24
2016-05,23
2016-06,36
2016-07,25
2016-08,53
2016-09,40
2016-10,0
2016-11,12
2016-12,12
2017-01,21
2017-02,24
2017-03,11
2017-04,25
2017-05,37
2017-06,13
2017-07,0
2017-08,25
2017-09,65
2017-10,0
2017-11,11
2017-12,12
2018-01,21
2018-02,12
2018-03,11
2018-04,100
2018-05,0
2018-06,12
2018-07,23
2018-08,48
2018-09,25
2018-10,12
2018-11,34
2018-12,47
2019-01,21
2019-02,23
2019-03,23
2019-04,12
2019-05,45
2019-06,24
2019-07,12
2019-08,12
2019-09,12
2019-10,21
2019-11,10
2019-12,0
2020-01,0
2020-02,10
2020-03,27
2020-04,28
2020-05,26
2020-06,28
2020-07,29
2020-08,50
2020-09,50
2020-10,19
2020-11,28
2020-12,0
2021-01,44
