Category: All categories

Month,jobs England: (Romania)
2012-01,61
2012-02,0
2012-03,64
2012-04,24
2012-05,22
2012-06,49
2012-07,100
2012-08,51
2012-09,25
2012-10,0
2012-11,0
2012-12,21
2013-01,0
2013-02,0
2013-03,0
2013-04,40
2013-05,21
2013-06,41
2013-07,20
2013-08,85
2013-09,42
2013-10,38
2013-11,0
2013-12,18
2014-01,49
2014-02,73
2014-03,17
2014-04,37
2014-05,19
2014-06,41
2014-07,0
2014-08,65
2014-09,21
2014-10,37
2014-11,53
2014-12,18
2015-01,46
2015-02,17
2015-03,31
2015-04,17
2015-05,80
2015-06,50
2015-07,54
2015-08,18
2015-09,0
2015-10,17
2015-11,33
2015-12,0
2016-01,15
2016-02,33
2016-03,0
2016-04,18
2016-05,35
2016-06,0
2016-07,19
2016-08,40
2016-09,0
2016-10,56
2016-11,54
2016-12,0
2017-01,16
2017-02,36
2017-03,0
2017-04,37
2017-05,19
2017-06,0
2017-07,0
2017-08,38
2017-09,0
2017-10,18
2017-11,51
2017-12,0
2018-01,16
2018-02,18
2018-03,0
2018-04,19
2018-05,17
2018-06,18
2018-07,17
2018-08,18
2018-09,38
2018-10,36
2018-11,0
2018-12,18
2019-01,16
2019-02,18
2019-03,17
2019-04,37
2019-05,0
2019-06,36
2019-07,53
2019-08,18
2019-09,18
2019-10,0
2019-11,31
2019-12,0
2020-01,0
2020-02,0
2020-03,14
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,61
2020-10,15
2020-11,0
2020-12,14
2021-01,0
