Category: All categories

Month,bani UK: (Romania)
2012-01,0
2012-02,30
2012-03,30
2012-04,100
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,26
2013-02,28
2013-03,53
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,29
2013-10,27
2013-11,26
2013-12,26
2014-01,46
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,31
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,22
2015-02,23
2015-03,22
2015-04,24
2015-05,0
2015-06,0
2015-07,52
2015-08,0
2015-09,0
2015-10,24
2015-11,47
2015-12,47
2016-01,22
2016-02,0
2016-03,45
2016-04,26
2016-05,74
2016-06,52
2016-07,0
2016-08,28
2016-09,0
2016-10,0
2016-11,0
2016-12,52
2017-01,0
2017-02,25
2017-03,24
2017-04,54
2017-05,0
2017-06,57
2017-07,0
2017-08,27
2017-09,0
2017-10,26
2017-11,0
2017-12,51
2018-01,45
2018-02,74
2018-03,23
2018-04,27
2018-05,74
2018-06,0
2018-07,0
2018-08,51
2018-09,27
2018-10,25
2018-11,49
2018-12,25
2019-01,68
2019-02,0
2019-03,0
2019-04,26
2019-05,0
2019-06,0
2019-07,49
2019-08,51
2019-09,25
2019-10,23
2019-11,0
2019-12,0
2020-01,61
2020-02,21
2020-03,19
2020-04,80
2020-05,76
2020-06,41
2020-07,21
2020-08,22
2020-09,22
2020-10,62
2020-11,40
2020-12,21
2021-01,76
