Category: All categories

Month,currency UK: (Romania)
2012-01,0
2012-02,0
2012-03,0
2012-04,43
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,33
2013-02,36
2013-03,0
2013-04,0
2013-05,0
2013-06,38
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,32
2014-04,68
2014-05,34
2014-06,0
2014-07,37
2014-08,0
2014-09,37
2014-10,0
2014-11,64
2014-12,32
2015-01,28
2015-02,0
2015-03,0
2015-04,61
2015-05,29
2015-06,91
2015-07,33
2015-08,67
2015-09,99
2015-10,91
2015-11,30
2015-12,30
2016-01,0
2016-02,0
2016-03,0
2016-04,33
2016-05,63
2016-06,100
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,33
2017-01,0
2017-02,0
2017-03,31
2017-04,0
2017-05,0
2017-06,37
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,34
2018-10,97
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,32
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,65
2019-09,32
2019-10,88
2019-11,0
2019-12,29
2020-01,0
2020-02,28
2020-03,25
2020-04,26
2020-05,24
2020-06,0
2020-07,0
2020-08,28
2020-09,0
2020-10,0
2020-11,26
2020-12,27
2021-01,0
