Category: All categories

Month,curs lira sterlina: (Romania)
2012-01,15
2012-02,12
2012-03,15
2012-04,15
2012-05,17
2012-06,13
2012-07,26
2012-08,19
2012-09,23
2012-10,23
2012-11,16
2012-12,20
2013-01,21
2013-02,11
2013-03,22
2013-04,18
2013-05,13
2013-06,7
2013-07,14
2013-08,22
2013-09,33
2013-10,13
2013-11,21
2013-12,15
2014-01,26
2014-02,29
2014-03,23
2014-04,14
2014-05,10
2014-06,18
2014-07,15
2014-08,21
2014-09,28
2014-10,28
2014-11,22
2014-12,15
2015-01,21
2015-02,32
2015-03,27
2015-04,32
2015-05,25
2015-06,23
2015-07,31
2015-08,22
2015-09,35
2015-10,25
2015-11,31
2015-12,31
2016-01,33
2016-02,58
2016-03,46
2016-04,56
2016-05,50
2016-06,100
2016-07,72
2016-08,70
2016-09,62
2016-10,67
2016-11,40
2016-12,46
2017-01,60
2017-02,47
2017-03,35
2017-04,46
2017-05,26
2017-06,57
2017-07,41
2017-08,47
2017-09,53
2017-10,31
2017-11,40
2017-12,27
2018-01,27
2018-02,28
2018-03,24
2018-04,37
2018-05,23
2018-06,24
2018-07,23
2018-08,39
2018-09,23
2018-10,28
2018-11,34
2018-12,28
2019-01,42
2019-02,39
2019-03,37
2019-04,27
2019-05,47
2019-06,30
2019-07,38
2019-08,60
2019-09,39
2019-10,46
2019-11,35
2019-12,41
2020-01,47
2020-02,48
2020-03,60
2020-04,36
2020-05,20
2020-06,36
2020-07,34
2020-08,24
2020-09,31
2020-10,24
2020-11,23
2020-12,31
2021-01,31
