Category: All categories

Month,curs valutar lira: (Romania)
2012-01,10
2012-02,7
2012-03,6
2012-04,7
2012-05,15
2012-06,5
2012-07,11
2012-08,17
2012-09,17
2012-10,12
2012-11,13
2012-12,9
2013-01,9
2013-02,10
2013-03,14
2013-04,11
2013-05,8
2013-06,13
2013-07,16
2013-08,18
2013-09,12
2013-10,7
2013-11,13
2013-12,6
2014-01,15
2014-02,13
2014-03,17
2014-04,13
2014-05,11
2014-06,8
2014-07,7
2014-08,22
2014-09,15
2014-10,16
2014-11,15
2014-12,15
2015-01,16
2015-02,21
2015-03,14
2015-04,17
2015-05,16
2015-06,16
2015-07,16
2015-08,21
2015-09,20
2015-10,22
2015-11,20
2015-12,25
2016-01,23
2016-02,29
2016-03,26
2016-04,26
2016-05,33
2016-06,100
2016-07,73
2016-08,57
2016-09,37
2016-10,48
2016-11,53
2016-12,41
2017-01,38
2017-02,28
2017-03,28
2017-04,30
2017-05,32
2017-06,40
2017-07,40
2017-08,49
2017-09,49
2017-10,39
2017-11,35
2017-12,27
2018-01,37
2018-02,35
2018-03,24
2018-04,20
2018-05,24
2018-06,30
2018-07,20
2018-08,35
2018-09,28
2018-10,25
2018-11,23
2018-12,31
2019-01,40
2019-02,30
2019-03,32
2019-04,30
2019-05,33
2019-06,24
2019-07,34
2019-08,43
2019-09,37
2019-10,28
2019-11,21
2019-12,37
2020-01,27
2020-02,43
2020-03,42
2020-04,32
2020-05,24
2020-06,26
2020-07,28
2020-08,31
2020-09,27
2020-10,24
2020-11,21
2020-12,34
2021-01,29
