Category: All categories

Month,lira sterlina: (Romania)
2012-01,13
2012-02,11
2012-03,10
2012-04,12
2012-05,18
2012-06,17
2012-07,20
2012-08,17
2012-09,18
2012-10,11
2012-11,12
2012-12,17
2013-01,23
2013-02,20
2013-03,18
2013-04,24
2013-05,14
2013-06,17
2013-07,12
2013-08,14
2013-09,22
2013-10,14
2013-11,14
2013-12,13
2014-01,19
2014-02,20
2014-03,16
2014-04,21
2014-05,16
2014-06,15
2014-07,14
2014-08,11
2014-09,22
2014-10,25
2014-11,19
2014-12,17
2015-01,25
2015-02,29
2015-03,25
2015-04,25
2015-05,18
2015-06,25
2015-07,28
2015-08,27
2015-09,33
2015-10,29
2015-11,32
2015-12,27
2016-01,28
2016-02,41
2016-03,29
2016-04,35
2016-05,38
2016-06,100
2016-07,65
2016-08,64
2016-09,45
2016-10,70
2016-11,45
2016-12,44
2017-01,42
2017-02,41
2017-03,35
2017-04,50
2017-05,32
2017-06,45
2017-07,36
2017-08,53
2017-09,58
2017-10,37
2017-11,41
2017-12,39
2018-01,45
2018-02,32
2018-03,29
2018-04,39
2018-05,24
2018-06,40
2018-07,33
2018-08,30
2018-09,39
2018-10,39
2018-11,35
2018-12,35
2019-01,42
2019-02,39
2019-03,45
2019-04,39
2019-05,41
2019-06,34
2019-07,39
2019-08,56
2019-09,53
2019-10,40
2019-11,31
2019-12,47
2020-01,41
2020-02,43
2020-03,48
2020-04,34
2020-05,32
2020-06,32
2020-07,37
2020-08,26
2020-09,34
2020-10,28
2020-11,20
2020-12,33
2021-01,27
