Category: All categories

Month,money UK: (Romania)
2012-01,25
2012-02,26
2012-03,0
2012-04,0
2012-05,54
2012-06,30
2012-07,0
2012-08,94
2012-09,93
2012-10,27
2012-11,0
2012-12,0
2013-01,44
2013-02,73
2013-03,45
2013-04,0
2013-05,25
2013-06,0
2013-07,25
2013-08,77
2013-09,25
2013-10,46
2013-11,0
2013-12,67
2014-01,39
2014-02,0
2014-03,63
2014-04,45
2014-05,23
2014-06,25
2014-07,25
2014-08,26
2014-09,50
2014-10,67
2014-11,0
2014-12,0
2015-01,57
2015-02,40
2015-03,57
2015-04,20
2015-05,0
2015-06,20
2015-07,66
2015-08,67
2015-09,88
2015-10,41
2015-11,0
2015-12,40
2016-01,19
2016-02,100
2016-03,59
2016-04,22
2016-05,0
2016-06,66
2016-07,0
2016-08,49
2016-09,75
2016-10,0
2016-11,22
2016-12,0
2017-01,20
2017-02,0
2017-03,62
2017-04,23
2017-05,23
2017-06,0
2017-07,0
2017-08,47
2017-09,24
2017-10,44
2017-11,21
2017-12,44
2018-01,0
2018-02,64
2018-03,60
2018-04,46
2018-05,42
2018-06,0
2018-07,0
2018-08,22
2018-09,69
2018-10,65
2018-11,21
2018-12,43
2019-01,19
2019-02,44
2019-03,64
2019-04,90
2019-05,62
2019-06,44
2019-07,64
2019-08,43
2019-09,43
2019-10,98
2019-11,38
2019-12,79
2020-01,0
2020-02,36
2020-03,49
2020-04,69
2020-05,16
2020-06,69
2020-07,73
2020-08,19
2020-09,75
2020-10,36
2020-11,34
2020-12,35
2021-01,49
