Category: All categories

Month,o lira: (Romania)
2012-01,0
2012-02,11
2012-03,22
2012-04,12
2012-05,0
2012-06,38
2012-07,0
2012-08,66
2012-09,39
2012-10,0
2012-11,11
2012-12,21
2013-01,9
2013-02,31
2013-03,19
2013-04,0
2013-05,53
2013-06,32
2013-07,31
2013-08,65
2013-09,32
2013-10,29
2013-11,29
2013-12,28
2014-01,33
2014-02,9
2014-03,18
2014-04,29
2014-05,19
2014-06,31
2014-07,42
2014-08,33
2014-09,0
2014-10,19
2014-11,36
2014-12,36
2015-01,32
2015-02,34
2015-03,40
2015-04,17
2015-05,33
2015-06,69
2015-07,28
2015-08,57
2015-09,65
2015-10,34
2015-11,51
2015-12,42
2016-01,39
2016-02,93
2016-03,42
2016-04,56
2016-05,53
2016-06,56
2016-07,99
2016-08,41
2016-09,42
2016-10,48
2016-11,28
2016-12,84
2017-01,8
2017-02,28
2017-03,35
2017-04,67
2017-05,48
2017-06,21
2017-07,71
2017-08,98
2017-09,30
2017-10,27
2017-11,44
2017-12,74
2018-01,41
2018-02,63
2018-03,34
2018-04,39
2018-05,36
2018-06,45
2018-07,44
2018-08,46
2018-09,39
2018-10,37
2018-11,35
2018-12,100
2019-01,66
2019-02,64
2019-03,80
2019-04,57
2019-05,61
2019-06,55
2019-07,36
2019-08,64
2019-09,55
2019-10,99
2019-11,40
2019-12,83
2020-01,37
2020-02,54
2020-03,42
2020-04,29
2020-05,14
2020-06,36
2020-07,61
2020-08,8
2020-09,47
2020-10,15
2020-11,57
2020-12,51
2021-01,41
