Category: All categories

Month,pound to lei: (Romania)
2012-01,0
2012-02,0
2012-03,0
2012-04,16
2012-05,15
2012-06,17
2012-07,0
2012-08,0
2012-09,18
2012-10,0
2012-11,15
2012-12,0
2013-01,13
2013-02,0
2013-03,0
2013-04,0
2013-05,29
2013-06,14
2013-07,0
2013-08,0
2013-09,0
2013-10,26
2013-11,13
2013-12,0
2014-01,11
2014-02,25
2014-03,0
2014-04,0
2014-05,13
2014-06,14
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,21
2015-02,0
2015-03,0
2015-04,23
2015-05,22
2015-06,0
2015-07,0
2015-08,0
2015-09,38
2015-10,12
2015-11,0
2015-12,0
2016-01,0
2016-02,23
2016-03,0
2016-04,13
2016-05,0
2016-06,50
2016-07,0
2016-08,0
2016-09,57
2016-10,39
2016-11,38
2016-12,38
2017-01,22
2017-02,12
2017-03,23
2017-04,0
2017-05,39
2017-06,28
2017-07,27
2017-08,13
2017-09,14
2017-10,12
2017-11,24
2017-12,25
2018-01,11
2018-02,37
2018-03,11
2018-04,26
2018-05,48
2018-06,0
2018-07,36
2018-08,50
2018-09,13
2018-10,74
2018-11,12
2018-12,37
2019-01,33
2019-02,49
2019-03,24
2019-04,25
2019-05,47
2019-06,12
2019-07,12
2019-08,25
2019-09,25
2019-10,100
2019-11,11
2019-12,45
2020-01,30
2020-02,21
2020-03,37
2020-04,39
2020-05,0
2020-06,39
2020-07,62
2020-08,42
2020-09,21
2020-10,61
2020-11,58
2020-12,39
2021-01,9
