Category: All categories

Month,quid: (Romania)
2012-01,64
2012-02,34
2012-03,33
2012-04,18
2012-05,35
2012-06,19
2012-07,0
2012-08,100
2012-09,60
2012-10,52
2012-11,50
2012-12,32
2013-01,14
2013-02,31
2013-03,29
2013-04,16
2013-05,16
2013-06,16
2013-07,32
2013-08,0
2013-09,49
2013-10,59
2013-11,0
2013-12,43
2014-01,0
2014-02,43
2014-03,41
2014-04,15
2014-05,29
2014-06,48
2014-07,16
2014-08,17
2014-09,0
2014-10,44
2014-11,0
2014-12,0
2015-01,60
2015-02,13
2015-03,12
2015-04,13
2015-05,37
2015-06,26
2015-07,29
2015-08,29
2015-09,71
2015-10,0
2015-11,90
2015-12,79
2016-01,48
2016-02,13
2016-03,38
2016-04,43
2016-05,54
2016-06,29
2016-07,45
2016-08,0
2016-09,16
2016-10,29
2016-11,57
2016-12,43
2017-01,51
2017-02,28
2017-03,27
2017-04,45
2017-05,15
2017-06,32
2017-07,0
2017-08,30
2017-09,78
2017-10,29
2017-11,27
2017-12,14
2018-01,76
2018-02,28
2018-03,13
2018-04,60
2018-05,54
2018-06,42
2018-07,54
2018-08,71
2018-09,30
2018-10,42
2018-11,54
2018-12,28
2019-01,87
2019-02,14
2019-03,14
2019-04,29
2019-05,0
2019-06,70
2019-07,14
2019-08,84
2019-09,55
2019-10,64
2019-11,85
2019-12,38
2020-01,45
2020-02,48
2020-03,43
2020-04,67
2020-05,31
2020-06,11
2020-07,47
2020-08,36
2020-09,48
2020-10,34
2020-11,11
2020-12,80
2021-01,32
